experiment_name,Batch Size,Forward Latency (s),Forward Throughput (samples/s),Forward Peak Memory (MB),Generate Throughput (tokens/s),Generate Peak Memory (MB),Quantization Scheme
fp16-batch_size(16)-sequence_length(128)-new_tokens(256),16,0.2,80.0,18706,596.0,49664,fp16
fp16-batch_size(8)-sequence_length(128)-new_tokens(256),8,0.105,76.2,16829,297.0,24551,fp16
gptq-batch_size(16)-sequence_length(128)-new_tokens(256),16,0.212,75.5,10441,406.0,40774,gptq
bnb-batch_size(16)-sequence_length(128)-new_tokens(256),16,0.221,72.4,9917,295.0,20260,bnb
fp16-batch_size(4)-sequence_length(128)-new_tokens(256),4,0.0577,69.3,15690,153.0,16896,fp16
gptq-batch_size(8)-sequence_length(128)-new_tokens(256),8,0.116,69.0,8568,231.0,16290,gptq
bnb-batch_size(8)-sequence_length(128)-new_tokens(256),8,0.126,63.5,8323,153.0,10760,bnb
fp16-batch_size(2)-sequence_length(128)-new_tokens(256),2,0.0337,59.3,15313,76.6,15858,fp16
gptq-batch_size(4)-sequence_length(128)-new_tokens(256),4,0.0684,58.5,7170,140.0,8717,gptq
bnb-batch_size(4)-sequence_length(128)-new_tokens(256),4,0.0781,51.2,7545,76.4,8539,bnb
gptq-batch_size(2)-sequence_length(128)-new_tokens(256),2,0.0456,43.9,6800,71.4,7597,gptq
fp16-batch_size(1)-sequence_length(128)-new_tokens(256),1,0.026,38.5,15128,38.4,15548,fp16
bnb-batch_size(2)-sequence_length(128)-new_tokens(256),2,0.0553,36.2,7073,37.6,7704,bnb
awq+gemv-batch_size(16)-sequence_length(128)-new_tokens(256),16,0.47,34.0,10183,442.0,31247,awq+gemv
awq+gemv-batch_size(8)-sequence_length(128)-new_tokens(256),8,0.24,33.3,8394,191.0,14176,awq+gemv
awq+gemv-batch_size(4)-sequence_length(128)-new_tokens(256),4,0.124,32.3,7245,146.0,8602,awq+gemv
awq+gemv-batch_size(2)-sequence_length(128)-new_tokens(256),2,0.0675,29.6,6756,74.3,7511,awq+gemv
gptq-batch_size(1)-sequence_length(128)-new_tokens(256),1,0.0351,28.5,6868,35.1,7077,gptq
awq+gemm-batch_size(8)-sequence_length(128)-new_tokens(256),8,0.289,27.7,8394,261.0,14176,awq+gemm
awq+gemm-batch_size(16)-sequence_length(128)-new_tokens(256),16,0.58,27.6,10183,492.0,31245,awq+gemm
awq+gemm-batch_size(4)-sequence_length(128)-new_tokens(256),4,0.149,26.8,7155,134.0,8642,awq+gemm
awq+gemv-batch_size(1)-sequence_length(128)-new_tokens(256),1,0.039,25.6,6792,37.4,6981,awq+gemv
awq+gemm-batch_size(2)-sequence_length(128)-new_tokens(256),2,0.0801,25.0,6754,66.4,7509,awq+gemm
awq+gemm-batch_size(1)-sequence_length(128)-new_tokens(256),1,0.0437,22.9,6792,33.6,6981,awq+gemm
bnb-batch_size(1)-sequence_length(128)-new_tokens(256),1,0.0526,19.0,6945,23.7,7281,bnb
