,Model,GPUs,Experiment Name,CUDAs,Per Process Batch Size,Sequence Length,Training Throughput (samples/s),GPU Name,Num GPUs,Num CUDAs,Num Processes,Effective Batch Size,Group
0,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft,0,16,256,17.61553393108114,1xA100,1,1,1,16,1xA100-fp16+peft
1,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft,0,4,256,15.280312016365723,1xA100,1,1,1,4,1xA100-fp16+peft
2,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft,0,1,256,9.204995154121027,1xA100,1,1,1,1,1xA100-fp16+peft
3,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft,0,2,256,13.703091569434395,1xA100,1,1,1,2,1xA100-fp16+peft
4,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft,0,8,256,16.762744638739655,1xA100,1,1,1,8,1xA100-fp16+peft
5,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft+bnb-4bit,0,16,256,19.25458205840699,1xA100,1,1,1,16,1xA100-fp16+peft+bnb-4bit
6,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft+bnb-4bit,0,4,256,14.980052509243013,1xA100,1,1,1,4,1xA100-fp16+peft+bnb-4bit
7,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft+bnb-4bit,0,1,256,6.507922316865925,1xA100,1,1,1,1,1xA100-fp16+peft+bnb-4bit
8,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft+bnb-4bit,0,2,256,11.94169402204942,1xA100,1,1,1,2,1xA100-fp16+peft+bnb-4bit
9,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft+bnb-4bit,0,8,256,17.60388650028503,1xA100,1,1,1,8,1xA100-fp16+peft+bnb-4bit
10,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16,0,16,256,14.290585128404912,1xA100,1,1,1,16,1xA100-fp16
11,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16,0,4,256,8.644845989803057,1xA100,1,1,1,4,1xA100-fp16
12,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16,0,1,256,3.361714815159161,1xA100,1,1,1,1,1xA100-fp16
13,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16,0,2,256,5.823100341837308,1xA100,1,1,1,2,1xA100-fp16
14,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16,0,8,256,11.812512417121573,1xA100,1,1,1,8,1xA100-fp16
15,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft+gptq-4bit,0,16,256,16.744488060860643,1xA100,1,1,1,16,1xA100-fp16+peft+gptq-4bit
16,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft+gptq-4bit,0,4,256,10.63649556220649,1xA100,1,1,1,4,1xA100-fp16+peft+gptq-4bit
17,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft+gptq-4bit,0,1,256,4.493277568022772,1xA100,1,1,1,1,1xA100-fp16+peft+gptq-4bit
18,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft+gptq-4bit,0,2,256,7.350820100333349,1xA100,1,1,1,2,1xA100-fp16+peft+gptq-4bit
19,NousResearch/Llama-2-7b-hf,['NVIDIA A100-SXM4-80GB'],fp16+peft+gptq-4bit,0,8,256,14.002480360943691,1xA100,1,1,1,8,1xA100-fp16+peft+gptq-4bit
